"","V1","V2"
"109","1998/01/21","18"
"110","1998/02/10","12"
"111","1998/02/16","12"
"112","1998/02/22","18"
"113","1998/03/08","15"
"114","1998/03/20","18"
"115","1998/03/29","21"
"116","1998/04/01","15"
"117","1998/04/07","21"
"118","1998/04/08","15"
"119","1998/04/15","18"
"120","1998/04/16","12"
"121","1998/05/07","18"
"122","1998/05/12","21"
"123","1998/05/15","15"
"124","1998/05/19","21"
"125","1998/05/21","15"
"126","1998/05/24","18"
"127","1998/05/28","18"
"128","1998/05/30","15"
"129","1998/05/31","15"
"130","1998/06/02","15"
"131","1998/06/08","21"
"132","1998/06/11","21"
"133","1998/06/13","15"
"134","1998/06/14","18"
"135","1998/06/16","21"
"136","1998/06/18","18"
"137","1998/06/24","00"
"138","1998/06/27","21"
"139","1998/06/29","15"
"140","1998/06/30","12"
"141","1998/07/06","18"
"142","1998/09/28","12"
"143","1998/09/29","12"
"144","1998/10/04","18"
"145","1998/10/17","15"
"146","1998/11/09","21"
"147","1999/01/01","18"
"148","1999/01/02","12"
"149","1999/01/17","18"
"150","1999/01/21","21"
"151","1999/01/22","12"
"152","1999/03/02","21"
"153","1999/03/05","21"
"154","1999/04/03","21"
"155","1999/04/05","12"
"156","1999/04/08","15"
"157","1999/04/15","12"
"158","1999/05/02","18"
"159","1999/05/03","21"
"160","1999/05/04","12"
"161","1999/05/05","21"
"162","1999/05/16","18"
"163","1999/05/25","18"
"164","1999/05/31","18"
"165","1999/06/01","21"
"166","1999/06/03","21"
"167","1999/06/04","21"
"168","1999/06/04","21"
"169","1999/06/05","18"
"170","1999/06/06","15"
"171","1999/06/27","21"
"172","1999/06/29","18"
"173","1999/08/09","21"
"174","1999/08/15","18"
"175","1999/09/15","12"
"176","2000/01/03","12"
"177","2000/02/13","21"
"178","2000/03/22","21"
"179","2000/03/26","21"
"180","2000/03/28","21"
"181","2000/04/02","21"
"182","2000/04/03","12"
"183","2000/04/23","18"
"184","2000/04/30","18"
"185","2000/05/11","21"
"186","2000/05/12","15"
"187","2000/05/17","18"
"188","2000/05/18","15"
"189","2000/05/23","18"
"190","2000/05/24","21"
"191","2000/05/26","15"
"192","2000/06/13","18"
"193","2000/06/20","18"
"194","2000/07/25","18"
"195","2000/09/22","12"
"196","2000/10/22","15"
"197","2000/10/29","18"
"198","2000/10/31","21"
"199","2000/11/12","18"
"200","2000/12/16","15"
"201","2001/02/24","21"
"202","2001/03/12","12"
"203","2001/04/11","00"
"204","2001/04/11","12"
"205","2001/04/22","00"
"206","2001/05/01","21"
"207","2001/05/04","21"
"208","2001/05/09","21"
"209","2001/05/10","21"
"210","2001/05/20","15"
"211","2001/05/21","15"
"212","2001/05/29","15"
"213","2001/06/01","18"
"214","2001/06/05","21"
"215","2001/06/09","18"
"216","2001/06/11","18"
"217","2001/06/12","15"
"218","2001/06/12","18"
"219","2001/06/13","21"
"220","2001/07/17","21"
"221","2001/07/18","21"
"222","2001/08/17","21"
"223","2001/09/14","12"
"224","2001/09/24","18"
"225","2001/10/09","18"
"226","2001/10/11","12"
"227","2001/10/12","18"
"228","2001/10/13","12"
"229","2001/10/24","18"
"230","2001/11/15","15"
"231","2001/11/24","00"
"232","2001/11/24","12"
"233","2001/11/26","18"
"234","2002/03/19","18"
"235","2002/03/30","18"
"236","2002/04/07","18"
"237","2002/04/16","21"
"238","2002/04/18","21"
"239","2002/04/28","03"
"240","2002/04/28","12"
"241","2002/05/01","18"
"242","2002/05/05","21"
"243","2002/05/07","21"
"244","2002/05/08","18"
"245","2002/05/11","21"
"246","2002/05/31","15"
"247","2002/09/25","18"
"248","2002/10/03","12"
"249","2002/11/05","15"
"250","2002/11/10","03"
"251","2002/11/10","18"
"252","2002/12/18","15"
"253","2002/12/23","12"
"254","2002/12/24","12"
"255","2002/12/30","18"
"256","2003/03/19","15"
"257","2003/04/06","15"
"258","2003/04/15","21"
"259","2003/04/19","18"
"260","2003/04/24","18"
